SalesAgent,Reviews
2Veld Makelaars,"Telefonisch goed bereikbaar, snelle terugkoppeling bij vragen, zeer servicegericht, behulpzaam en zeer vriendelijke werknemers. Goede begeleiding en service bij de verkoop van ons huis. Was een goede tussenpersoon bij de kopers en de verkopers.Kundig. Actief. Vriendelijk. Goede advisering. Ook goed bereikbaar. Ook medewerkers zijn vriendelijkOscar Rietveld is een deskundige en klantvriendelijke makelaar. Altijd betrokken en hield ons altijd goed op de hoogte. Wij hebben ons huis al enige tijd geleden verkocht en nu ook het huis van mijn moeder. Ook bewust bij dit huis voor 2Veld Makelaars gekozen. Goed contact, komt afspraken na, veel kennis, weet gerust te stellen, prettig in omgang. staat altijd voor je klaar."
A New Home Makelaardij,"Super tevreden met deze makelaar. Nathaly is heel deskundig, professioneel en zeer prettig in het contact (direct en duidelijk). Mijn woning was binnen 1 week verkocht, waarbij ik ook erg tevreden ben over de verkoopprijs in relatie tot de huidige marktwaarde. Het personeel van Makelaardij A New Home is niet alleen heel vriendelijk, maar ook erg servicegericht. Echt een aanrader! Buitengewoon klasse!Dankjewel mijnheer/mevrouw Zoubair voor deze prachtige beoordeling en de fijne samenwerking ! Goede jaarwisselingHeel vriendelijk en professioneel,altijd goed geïnformeerd en makkelijk in kontakt te komen. Zeker geen 9 tot 5 mentaliteit.Bedankt voor deze mooie beoordeling en de prettige samenwerking !Top makelaar, vakkundig, komt afspraken nauwgezet na en besteed veel aandacht aan het te verkopen object, kortom een absolute aanrader. Dankjewel voor deze mooie beoordeling en voor de prettige samenwerkingSnel en adequaat gehandeld. Goed luisterend oor en alles netjes uitgewerkt. Goede foto's, dit alles zorgt ervoor dat het huis goed bekeken is en super snel verkocht is. Dankjewel voor deze mooie beoordeling en prettige samenwerking !Heel daadkrachtig, duidelijke visie en duidelijk verhaal. Wekt vertrouwen, komt deskundig over en het voelt alsof je erop kunt vertrouwen dat je huis wel verkocht gaat worden als het in haar handen ligt. Dank voor deze mooie beoordeling en de fijne samenwerking !"
& Bijleveld makelaardij b.v.,"Fijne en deskundige makelaar. Goede tips en advies, snelle verkoop en tevreden met de verkoopprijs. Ik kan de dames absoluut aanraden! Wat een ontzettend fijne review, we zijn apetrots en dankbaar. Hier doen we het voor!&Bijleveld is een klein kantoor gerund door vrouwen met grote expertise.Een pro-active houding waardoor het antwoord vaak al bekend is voordat de vraag gesteld is. En is er dan alsnog een vraag, dan wordt deze snel en kordaat beantwoord.Het belang van de klant staat altijd voorop. Uiteraard dien je als klant zelf altijd mee te blijven kijken, samen kom je verder. Een bijzonder prettig team om mee te werken.Beste Rogier, wat een ontzettend fijne review, ook qua toelichting. We glunderen van trots en zijn er heel blij mee, dankjewel! Groeten, AngeliqueWij zijn heel tevreden over de begeleiding bij de verkoop van onze woning door & Bijleveld. Mbt het verkoopresultaat hebben onze verwachting ruim overtroffen. Bi Bijleveld makelaardij heb er bijzonder prettig samengewerkt. Ze zijn erg accuraat in de communicatie, scheppen heldere verwachtingen en wisten naar mijn wens vraag en aanbod bij elkaar te brengen. Ik zou ze een elke andere keer zeker weer inschakelen en ze zeker aanraden aan iemand die zijn huis wil verkopen. Contact verliep soepel en werd altijd op de hoogte gehouden. Heel vriendschappelijk contact. Goed advies gehad om huis zo goed mogelijk voor de verkoop voor te bereiden. Grote betrokkenheid gevoeld. "
11 Makelaars BV,"11 Makelaars , echt een topservice! Ik ben prima begeleid en als er actie ondernomen moest worden, werd dat gelijk gedaan. Verstand van zaken en deskundig. Aanrader!Het contact loopt perfect.Goede uitlegJe wordt goed betrokken bij van alles. ( vooral met de papierwerk en wat er nog geregeld moest worden)Een hele grote steun.aangezien ik nooit een huis heeft gekocht , laat staan verkocht.Ik zal zeker mensen bevelen om naar 11 makelaars te gaanIk heb een zeer ervaren partij ontmoet die mij het juiste advies heeft gegeven. Met dank aan hun expertise is het hele proces feilloos verlopen.Makelaar heeft goede lokale marktkennis. En levert goede service naar kopers en verkoper. Wij zijn tevreden met het behaalde resultaat. Wij zijn zeer tevreden over de geleverde diensten. Het team is allemaal heel vriendelijk, denken mee en zijn van de persoonlijke benadering. Ze zorgen dat het allemaal goed verloopt, en zorgen ervoor dat je vertrouwen hebt in een goede afloop!"
2M Makelaars,"Het contact verliep makkelijk en snel. De makelaar van 2m was duidelijk en had veel kennis. We zijn erg tevreden! Goedendag,We willen u nog hartelijk danken voor deze mooie review!Met vriendelijke groet,Herbert Dijkhuizen2M MakelaarsEen bijzonder fijn, serieus en benaderbaar contact. Kennis van zaken en goed advies.Snelle en adequate afhandelingKennis van zaken, duidelijke uitleg, prettig contact, vragen werden snel beantwoord. Afwikkeling van de verkoop ging erg soepel. Prijs-kwaliteitverhouding is erg goed. Aanrader als je op zoek bent naar een kleiner makelaarskantoor, waar je geen nummer bent. Bij de 1e afspraak was er gedegen informatie vanuit de makelaar en heb ik goede afspraken kunnen maken over hoet ik dacht dat het gehele proces kon verlopen.Proces is snel en soepel verlopen, informatievoorziening kan wat beter aansluiten op het proces.Goed bereikbaar, zeer tevreden en netjes behandeld. Betrouwbaar en eerlijk. Geweldig hoe snel zij mijn woning verkocht hebben. "
3D Makelaars B.V.,Prettig contact met de deskundige makelaar. Huis is snel verkocht en het hele verkoopproces verliep soepel.Fijne partij. No nonsens instelling met een aanpakkersmentaliteit. Ons huisje werd rap verkocht en wij hoefden ons nergens druk over te maken. :-)3D-Makelaars zorgt ervoor dat je je huis op een relaxte wijze verkoopt. Bij ons ging het erg vlot en voor een prijs waar niet over durfde te dromen. Kortom erg prettig mee samengewerkt zonder stress.De verkoop van mijn huis via 3D-makelaars is heel soepel verlopen. Het kantoor denkt goed mee en is erg vriendelijk. Zou 3D morgen weer mijn woning toevertrouwen. Geweldige service! Doen net dat beetje extra en zorgen ervoor dat er veel administratie en werk uit handen word genomen. 
020-Makelaars,"Kundige makelaar, ook (en als een van de weinigen) voor wat betreft bouwkundige adviezen. Prettig in de omgang en goed bereikbaar. Je wordt niet afgescheept met een backoffice medewerker, die geen weet heeft van jouw dossier. Pragmatische instelling, wat er mede voor zorgt dat hij je werk uit handen neemt. Alles wordt (door hemzelf) efficiënt, soepel en met kennis van zaken geregeld en verzorgd. Bij de aanschaf van mijn appartement had ik Frits Meerhoff ingeschakeld als aankoopmakelaar en nu, bij de verkoop, als verkoopmakelaar. Bij de verkoop ben ik net zo tevreden als bij de aankoop.Very good and reasonably priced agent in Amsterdam. Always available for questions. apparently I need to write 100 characters for this to be valid...Na met 8 makelaars gesproken te hebben had ik gekozen voor Frits, 020makelaars. Duidelijke en heldere communicatie en de waarde van het huis kon hij sterk onderbouwen. Alle beloftes heeft Frits waargemaakt. Frits was vooral eerlijk en helder in communicatie naar mij als verkoper maar ook naar de koper. Frits en team, hartstikke bedankt voor alles!Goede makelaar! Ik werd geholpen door Frits. Hij reageert snel en adequaat. Mijn huis was snel verkocht en tegen een goede prijs. Zeer tevreden. Prettige en succesvolle samenwerking; twee huizen verkocht en een geweldige aankoop in korte tijd.Omdat wij zijn gaan samenwonen zochten we een makelaar voor de verkoop van een van ons beider huizen. Frits maakte daarbij indruk door een gedegen kennis van zaken, voortvarende aanpak en een prettige omgang. De communicatie met 020 makelaars verliep heel soepel en direct. Veel zaken kunnen via het online dossier worden afgehandeld waarmee je ook overzicht houdt over alles dat rond de verkoop van belang is. Voor vragen en ondersteuning konden we altijd terecht.Na de verkoop van het huis zijn we ons gaan oriënteren op de woningmarkt voor een toekomstige nieuwe woning. Onverwacht snel kwam er een huis op ons pad waar we weg van waren. In de verhitte woningmarkt betekende dat snel handelen. Frits kon weer vlot instappen en voorzag ons van de nodige informatie om een weloverwogen en realistisch bod te doen. Daarmee en met het beetje geluk dat je in deze tijd ook nodig hebt hebben we ons huis verkregen. Tot slot hadden we nog een woning te verkopen en dat liep weer even gesmeerd.Wij bevelen Frits en 020 makelaars van harte aan!"
10+ Makelaars,"Snel, deskundig maar vooral handelend in het voordeel van de klant. Een heel team wat zich ten diensten stelt van de klant. Marc is een betrokken en enthousiaste makelaar. Hij is actief aan het werk en is goed bereikbaar wanneer er eventuele vragen zijn.Ik zou hem zeker aanradengoede makelaar die erg klantvriendelijk is en de puntjes op de i zet. fijne medewerkers ook en zeker niet duurContact met onze makelaar was goed! Ons huis stond duidelijk beschreven en binnen 1.5 week had Marck ons huis al verkochtPrima makelaar voor verkopen en koop. Is bij ons alle twee geweest. Is prima verlopen en zijn perfect behandeld. Klant is echt nog koning.."
2Veld Makelaars,"Contact met de makelaar was goed,duidelijke afspraken werden gemaakt.Hij was betrokken en behulpzaam.De makelaar is helder in zijn uitleg en geeft reële adviezen. Ook voor wat betreft het meedenken met de klant is de makelaar zeer attent geweest.Prima makelaarskantoor. Oscar is in mijn ogen een betrouwbare en deskundige makelaar met verstand van zaken. Hij luistert naar de wensen van jou en zegt zijn mening. Hij is geduldig en discreet. Bij vragen kon ik altijd op hem terugvallen.Kortom een klein kantoor zonder kapsones en daar hou ik van.2VeldMakelaars denkt mee met de klant en is zeer professioneel. Deze makelaar is een echte aanrader! Over het algemeen een prima makelaar, die ons goed informeerde na een bezichtiging. Naar mijn mening zou de makelaar iets meer initiatief mogen tonen. Een voorbeeld hiervan is dat wij zelf hebben aangegeven dat we graag nieuwe foto's van onze woning op funda wilden, omdat de foto's die er eerste op stonden te rommelig oogden."
& Bijleveld makelaardij b.v.,"Inmiddels al jarenlang ervaring met Bijleveld Makelaardij, en zoals altijd een zeer goede service van begin tot eind!Dank Pieter, hier zijn we weer énorm blij mee!! Zeer persoonlijk en professioneel. Het huis is voor een goede prijs verkocht. We werden op de hoogte gehouden van alle relevante ontwikkelingen. Doordat het een klein kantoor is, is het contact laagdrempelig en persoonlijkHet contact met de makelaar verliep vlekkeloos. Professioneel, goed bereikbaar, en leuke aardige dames! ik had het niet anders willen hebben! In 2015 hebben ze ons begeleid bij de aankoop van het appartement vandaar dat we nu gewoon weer hebben gekozen voor het zelfde kantoor bij de verkoop. Het zijn aardige meiden en wij kunnen deze makelaar van harte aanbevelen. Ze heeft genoeg gogme en branie om de klus te klaren, pakt door indien nodig, daarbij alles in goed overleg, en zonder 9-5 mentaliteit. Zoek niet verder!"
11 Makelaars BV,"Heel erg goed gehandeld met de verkoop van míjn woning. Heel persoonlijk begeleiding gehad tijdens de verkoop. Groetjes Girwar Prima makelaar, goede adviezen, persoonlijke benadering, geen haastig gedoe. Het kantoor is altijd goed bereikbaar en men komt gemaakte afspraken na.Goed geholpen door deskundige makelaar. Wist wat te doen en heeft mijn appartement voor een mooie prijs kunnen verkopen.Professionele organisatie. Fijne omgang. Klant staat op 1. Zeer deskundig in hun werkgebied. Contact gaat snel en duidelijk. Het contact met de makelaar verliep prima. Jammer dat het lang heeft geduurd voordat er foto's werden genomen en op internet werden geplaatst. Jeffrey is erg kundig, geduldig en aardig."
2M Makelaars,"De makelaar is goed bekend in de wijk en het huizenaanbod. De makelaar was goed bereikbaar en had een goedkoper aanbod dan andere makelaars.Het contact met de makelaar verliep heel prettig. Hij dacht mee en gaf goede adviezen! Fijn dat het huis zo snel verkocht is! Ik zou 2M Makelaars zeker aanraden!Door slechtere ervaringen uit het verleden met bekende makelaarskantoren in Dordrecht, ditmaal gekozen voor 2M Makelaars voor de verkoop van ons appartement. Vanaf het eerste moment een prima contact, een duidelijk verwachtingspatroon, een goede presentatie van de woning, een goed overleg qua planning van bezichtigingen gevolgd door een snelle verkoop voor een topprijs. Wij hebben zelf te maken gehad met Arjen en Lianne, die beiden keurig hun werk hebben gedaan en al hun afspraken correct zijn nagekomen. Wij bevelen 2M Makelaars zeker aan!De vorige makelaar gaf ons verkeerde adviezen onder meer over de prijs en was na 15 minuten klaar met de rondleiding.Lianne Punt ging voortvarend te werk. Vrijdags op Funda dinsdags de bezichtiging Woensdag een bod. Lianne heeft ons goed geholpen, altijd bereikbaar, als er nieuws was belde ze zelf.2M Makelaars een top makelaarMaar alle lof voor Lianne Punt ze heeft het waar gemaakt dat wij onze droom kunnen realiserenDank je LianneHet contact met 2m makelaar was heel goed. We konden met al onze vragen bij hun terecht en kregen daarop ook goed en duidelijk antwoord. Ik zou zeker 2m makelaar bij andere aanbevelen."
10+ Makelaars,"Eerlijke en meedenkende makelaar. Had ons huis heel snel verkocht en de begeleiding was goed. We zijn niet van plan om nog te gaan verhuizen maar als het wel gaat gebeuren bellen we zeker weer naar Marck.Vlotte procedure. Snel klaar voor verkoop met fotos en folder.Voldoende ondersteuning en advies.Prettige samenwerking Allessupergoed geregeld. Zat er bovenop om alles te regelen .Heel Goed achter alle gegevens aangegaan .Het contact met de makelaar liep erg goed.Onze makelaar straalt rust en vertrouwen uit en werkt met grote betrokkenheid en daadkracht. We zijn tijdens de verkoop geswitcht van makelaar en naar hem overgestapt; de beste keuze die we hebben kunnen maken. Alle lof voor onze makelaar.Marck heeft ons geholpen bij zowel de aankoop van onze nieuwe woning, alsook de verkoop van onze oude woning. Fijne makelaar die echt goed communiceert! Marck is duidelijk, straight-to-the-point en geeft een realistisch advies. Wij zijn erg tevreden over de service, begeleiding en het uiteindelijke resultaat. We zouden deze makelaar aan iedereen aanbevelen."
3D Makelaars B.V.,"We zijn geholpen door deskundige mensen op vriendenniveau. Een zeer prettige samenwerking. Als iemand een makelaar zoekt zullen wij 3D zeer zeker aanbevelen!Voordat we met elkaar in zee gingen, ging alles nog volgens de afspraken. Daarna ging het moeizaam. Hij nam niet eens de moeite om de sleutel bij ons op te halen. Deze moesten we uiteindelijk in zijn brievenbus gooien.Na de eerste kijkdag zou hij het huis op social media plaatsen. Dit is na 4-5x beloven nooit gebeurd. Uiteindelijk wilde een kijker voor de tweede keer bezichtigen. Prima. Toen werd er gevraagd of wij de deur konden openen voor de kijkers. Wij weigerden dat en daarna zouden we teruggebeld worden voor een afspraak. Natuurlijk werden we nooit teruggebeld. Omdat er een paar dagen over heen zat, gingen we zelf maar bellen met de vraag wanneer de bezichtiging plaats zou vinden, zodat wij het huis konden opruimen. Het antwoord was 'morgen'. Er wordt dus geen rekening met je gehouden. Bij de onderhandeling werd er alleen maar gehandeld vanuit eigenbelang en belangen van de kopers. Gek genoeg betalen de verkopers hiervoor. Wij ontvingen een mail van de notaris dat de bankgarantie niet ontvangen was. Binnen een minuut werd ik gebeld naar aanleiding van de mail. 'Ik had uw vrouw gesproken voor het weekend en zij heeft ons nog niet er over teruggebeld'. Het is nogal vreemd dat de makelaar hier niet zelf achteraan gaat. Vervolgens hebben we hen verzocht om de kopers ingebreke te stellen. 'Uitstel geven en ingebreke stellen is in feite hetzelfde. Het klinkt alleen niet zo vriendelijk'. Sinds wanneer verkopen we een huis om aardig gevonden te worden?Lang verhaal kort: deze makelaar belooft van alles, maar maakt niks waar. Als je geluk hebt, wordt je mail na een week beantwoord. Omdat de mailcommunicatie moeizaam ging, besloten we maar te bellen. Terugbellen doet hij niet. Toen besloot ik naar het kantoor te bellen... 'de makelaar had het erg druk en er zijn wat collega's met vakantie' was de reactie.3D staat voor dynamisch, duidelijk en daadkrachtig. Wij hebben er niks van gemerkt! Wij hebben absoluut teveel betaald voor geen service. Het huis is verkocht door de markt en niet door de makelaar!Alles is goed en snel verlopen. Ik kon altijd het kantoor bellen als ik iets wilde weten.Er waren nogal wat ""moeilijkheden"" op de weg, maar Joris heeft mij hier goed in ondersteund en advies gegeven.Een goede afloop als resultaat! 3D makelaars kunnen wij zeker aanbevelen! Prettige samenwerking, goede service!Veel mogelijkheden. Contact met de makelaar verliep erg fijn. Afspraken werden goed nagekomen en er werd goed meegedacht. In de huidige markt vraag je je wel eens af wat de toegevoegde waarde van een makelaar kan zijn. Bij 3D Makelaars zal je die toegevoegde waarde ervaren. Er komt namelijk nogal wat kijken bij de verkoop van je huis!! Kanjers zijn het!!"
2M makelaars,"2M Makelaars is een hele fijne en prettige makelaar, ze houden je goed op de hoogte tijdens het hele verkoopproces! Snelle service ondanks de drukte. Mijn appartement was in no-time verkocht. Fijn contact met de makelaar.Goedemorgen,Hartelijk dank voor de mooie beoordeling!Met vriendelijke groet,Team 2M MakelaarsFijne makelaar! Deskundig en ervaren, maar ook ruimte voor eigen inbreng/wensen. Er wordt veel tijd besteed aan voorbereiding zoals foto's, aanpak etc. Dat gaf ons het gevoel dat er moeite gedaan werd om ons huis zo goed mogelijk te verkopen! Binnen een week was het verkocht voor een goede prijs. Wij zijn super blij, nogmaals bedankt!Goedemorgen,Hartelijk dank voor deze mooie beoordeling!Met vriendelijke groet,Team 2M MakelaarsWij goed geholpen bij verkoop van ons huis,ze namen alle tijd om onze vragen te beantwoorden echt top.Goedemiddag, hartelijk dank voor deze prachtige beoordeling!Met vriendelijke groet,Team 2M MakelaarsHet contact met de makelaar verliep prima. Werd goed geluisterd naar onze wensen. En een prima overleg over de bezichtigingen. Iedereen binnen het kantoor is erg behulpzaam en op vragen die een collega niet direct kan beantwoorden word je zo snel mogelijk teruggebeld.Hartelijk dank voor deze mooie review! Team 2M Makelaars"
123 makelaar o.z.,"De knoop doorgehakt!Ik ga mijn huis verkopen!In eerste instantie van plan om het huis zelf te verkopen, totdat vrienden van mij hun huis te koop gezet en verkocht hadden via 123makelaar en daar heel erg positief over waren. Dus 123makelaar gebeld voor de gratis waardebepaling van de woning en 2 dagen later stond de makelaar voor de deur. Daar begon ook mijn positieve ervaring met 123makelaars, de makelaar (Huybert in mijn geval) komt professioneel en sociaal over en neemt ook daadwerkelijk de tijd voor je qua uitleg van het hele verkoopproces en alle vragen die ik voor mijzelf al opgeschreven had. Daarna met Huybert de woning opgenomen en toen werd ik dezelfde middag al opgebeld met de waardebepaling. Vanaf toen is het balletje gaan rollen:-Gunstige waardebepaling, dezelfde dag de opdrachtbevestiging getekend. Ik heb gekozen voor het volledige pakket vanwege de vele extra's en omdat ik gezien heb dat het bij de verkoop bij de woning van mijn vrienden ook geholpen heeft.-Drie dagen later kwam de fotograaf voor de foto's en het opmeten van de woning. De fotograaf was ook zeer professioneel en had veel nuttige tips.-Twee dagen later stond de woning op Funda met gelijk een Funda account aangemaakt door 123makelaar zodat je zelf de statistieken van je woning kunt bekijken wanneer je maar wilt.-Dezelfde dag al gebeld dat er 3 bezichtigingen ingepland moesten worden vanwege de vele belangstelling voor de woning, dit waren mensen die via Funda kwamen en mensen die in het klantenbestand van 123makelaar stonden en door 123 geattendeerd waren op de woning.-anderhalve week later de 3 bezichtigingen gehad en startte de open inschrijving ivm de vele belangstellenden.-een week later het huis verkocht en het voorlopig koopcontract getekend.Wat mij heel erg goed bevallen is dat tijdens het hele proces mijn enige taak was om het huis klaar te maken voor de bezichtigingen. Huybert heeft alles op zich genomen en op een uitstekende wijze alles geregeld. Wat voor mij ook een hele dikke plus was, is dat ik bij elke nieuwe ontwikkeling van het huis of het nou ging om extra aanmeldingen voor de bezichtigingen of wat je ook maar kan bedenken meteen op de hoogte werd gesteld door 123makelaar. Dringende zaken via de telefoon en overig middels de mail.Kortom een dikke 10 van mij voor Huybert, en ik zou hem zeker aanbevelen bij een ieder die zijn huis wil verkopen.123 Makelaars heeft mij zeer deskundig begeleid bij de verkoop van mijn huis. De gehele verkoop verliep snel en zonder problemen. Mooie brochure en foto`s op de site. Mijn ervaring was heel goed;ik bent onzetten blij met ze. Vriendelijk, profecionaal, duidelijk en altijd berijkbaar. Mijn apartament was ook binnen ""no time"" verkocht 💗De makelaar Raymond Noordeloos van 123 makelaar.heeft de verkoop van ons huis goed begeleid. Zeer tevredenGoede makelaar. Duidelijke communicatie en snel. Doen extra moeite voor je, veel kennis van de markt in amsterdam.Bedankt huybert"
A New Home Makelaardij,"Vriendelijk, goede kennis van de markt, goed advies, goed team en eerlijk. Een aanrader voor iedereen die zijn huis wil verkopen.Super bedankt voor deze mooie beoordeling en bedankt voor het vertrouwen in ons kantoor !Herl fijn contact. Goede service, prachtige foto's. Aanrader! Een klein kantoor met persoonlojke aandacht. Geachte heer Conraads,Dankjewel voor deze mooie beoordelingmvg Team van A New Home MakelaardijTop! Geen verdere toelichting nodig. Goede begeleiding en professionele fotografe. Zeer tevreden, volgende keer zou ik weer kiezen voor hun. Dankjewel mevr. Van Weersch voor deze mooie beoordeling en het vertrouwen in ons kantoor.Uitstekende service , zeer deskundige oog voor verkoop door Nathalie van der Poel, zeer vriendelijke personeel die goed meedenk . Echt een aanrader . Dankjewel voor deze mooie beoordeling en de fijne samenwerking !Nathalie met haar team weten precies wat het er komt kijken bij de verkoop van een huis. Niet alleen de zakelijke kant maar zeer zeker ook de menselijke kant.Ik kan niet anders zeggen datwe het contact en de totale verkoop als zeer positief hebben ervaren.Een makelaar die het belangrijk vindt dat iedereen met een prettig gevoel terug denkt aan de verkoop."
3B Makelaardij b.v.,"Ik ben echt super tevreden. We hadden korte lijntjes bij bezichtigingen. Ik kreeg goede feedback na een bezichtiging en makelaar is na een paar bezichtigingen zeer proactief te werk te gaan. Hij heeft een open huis georganiseerd en gedurende het open huis zelf ter plaatse gebleven. Daarna was het huis meteen verkocht.Makelaar bleef ook tijdens dat proces snel en goed communiceren.Hele prettige samenwerking gehad met 3B Makelaardij in Bergschenhoek. Wij hebben begeleiding van 3B gehad tijdens de aankoop van ons nieuwe huis en 3B was de verkopend makelaar van ons huidige huis. Betreffende de aankoop is het prettig dat 3B beschikt over goede contacten met alle makelaars in de omgeving, waardoor een aankoop soepel en snel kan verlopen. Goed en onderbouwd advies gekregen voor aanvang van het onderhandelingstraject. Voor de verkoop van ons huis hebben we in overleg een goede strategie weten te bepalen met een zeer bevrediging resultaat als gevolg. Wellicht ten overvloede; 3B is goed bereikbaar per telefoon en per mail. Een goede deal werd in ons geval gesloten op zaterdagavond om 20:00. Bas heeft ons erg goed geholpen met het hele proces.Dit vanaf het moment dat wij overwogen om te verhuizen, aankoop nieuw huis, eigen huis verkoop klaar maken en tot en met de afhandeling van de verkoop. Uitstekende makelaar met zeer goede persoonlijke begeleiding en adviezen. Kennis van zaken en heeft vrijwel al het werk uit handen genomen. Zou een volgende keer zeer zeker weer van hun services gebruik maken. Zeer goede, no-nonsense communicatie. Zij wisten precies hoe de markt in elkaar steekt en hebben voor ons een op maat gemaakte aanpak gekozen. Het huis is hierdoor snel en voor een zeer goede prijs verkocht. Goed advies dus, ook goede begeleiding door het hele proces heen. Zeer betrouwbaar!"
& Bijleveld makelaardij b.v.,"Ik heb al herhaaldelijk met Bijleveld samengewerkt. Zeer vriendelijke, deskundige en behulpzame makelaars die altijd voor je klaarstaan en met je meedenken. Een topkantoor dus!Dank! Wat een fijn bericht, het plezier in de samenwerking is geheel wederzijds en dank dus voor elke keer jullie/jouw vertrouwen in ons. Ik zag er weinig heil in mijn kapitale pand aan de Amsterdamse grachtengordel in de koude decembermaand te koop te zetten, liever wachten tot de lente dacht ik. Maar de doorgewinterde Angelique Bijleveld overtuigde me met goede argumenten. Nog voor de Feestdagen was er een getekend contract en de prijs was, door slim onderhandelen van deze op en top vakvrouw, ook nog eens een Kerstcadeautje voor mij en mijn meisje. Kortom, wees geen dief van je eigen portemonnaie en ga in zee met de uiterst charmante maar bovenal zeer vakbekwame dames van & Bijleveld. Een klasse apart!Dank lieve Chap! Wat zijn we blij met deze enorme waardering. Veel geluk in Spanje en mocht je ooit weer terug willen naar Amsterdam...wij staan voor je/jullie klaar! Throughout all the years I've been living in Amsterdam, I've had the chance to purchase and sell several houses through Bijleveld Makelaardij.In all those occasion I've been helped with real professionality and genuine kindness.Every time I required their services it has been such a pleasant experience that I never felt like searching for a different agent.I would certainly recommend Bijleveld to anyone.Dear Pia,Thank you so much for your nice review!! You made our smile all day long. It was more than a pleasure and a huge honour to assist you all these years and I carry warm thoughts for you and your family. Please don't be a stranger, whenever you visit Amsterdam and all the best in beautiful Italy...Warm regards, AngeliqueHele fijne samenwerking. Angelique Bijleveld is toegankelijk en deskundig en een goede sparringpartner tijdens het hele verkoop/aankoopproces. Een makelaar met een grote betrokkenheid. Dankejewel Tamara! Wat een mooi zonnig bericht op deze druilerige dag, die kan voor mij niet meer stuk....! De contacten met Angelique en Alice waren steeds erg prettig en zij kwamen steeds met goede suggesties over hoe wij de eoning het best onder de aandacht konden brengen."
020-Makelaars,"Frits was onze 2e makelaar en de wereld ging voor ons open. Zo kan het dus ook, dachten wij. Een positieve leuke man met veel kennis die de markt in Amsterdam goed kent. Hij doet wat hij beloofd en komt zijn afspraken na. Ons huis was vrij snel verkocht. Voor wat betreft zijn courtage is hij één van de laagste wat een aangename bijkomstigheid is. En als laatste, zijn medewerkster Erna is zo'n positivo. Het is leuk om die aan de telefoon te hebben en daar begon het allemaal mee.In totaal 5 makelaars over de vloer gehad. Frits was de enige die meteen een fotograaf had meegenomen vanwege de urgentie in mijn zaak. Dat gaf hem een voorsprong op de rest. Qua prijsstelling was hij één van de voordeligste. Huis was in een record tempo verkocht dankzij de vele connecties die Frits heeft. Prima resultaat behaald, dankzij Frits en het 020-Makelaars team. Ik kan ze hoog aanbevelen!020-Makelaars is een betrouwbare partij. Reageert snel op vragen, denkt mee en neemt veel werk uit handen. Frits een zeer ervaren en deskundige makelaar, die de markt in Amsterdam goed kent. Hij heeft de verkoop van ons huis van A tot Z geregeld, zonder dat wij er omkijken naar hadden. Wij raden iedereen aan om van Frits zijn kennis en kunde gebruik te maken, als je een huis wil aan of verkopen. Goede service. Volledig, vlot en alles tot in de perfectie geregeld. Geen omkijken naar. Prijs/kwaliteit is top en zeker een aanrader voor iedereen! "
11 Makelaars BV,"Aardige en correcte mensen!Snelle en vlotte verkoop mede door de inzet van het team van 11 makelaars. Ik ben dik tevreden en ik beveel 11 makelaars ook zeker aan. Nogmaals dank voor de fijne samenwerking!! Prettig contact; iemand met hart voor de zaak en voor zijn klant. Altijd accuraat in de terugkoppeling, en altijd beschikbaar en bereikbaar. Buitengewoon plezierig allemaal.Een makelaar die heel bekent is met de buurt en omgeving.Heel vriendelijk en staan je altijd netjes te woord voor al je vragen .Een goede en deskundige makelaar. Het contact verliep prettig. Na bezichtigingen gelijk duidelijke feedback. En ons huis is vlot verkocht. Wij zijn zeer tevreden.Jeffrey, Quincy en rest van het team: hartelijk dank!Ook complimenten aan Houseview met goede (360 graden) foto’s en video.Ben super geholpen door 11makelaars, hele vriendelijke mensen en handelen snel.Hebben ons huis binnen 7 dagen verkocht."
2M Makelaars,"Contact verliep soepel! Werden goed op de hoogte gehouden wat erg fijn was! Super snel ons huis verkocht. Heel prettig contact. De makelaar is erg betrokken bij het hele reilen en zeilen. Verkoop is heel goed en vlot verlopen.Goed onderhandeld in de naam van de klant. Goede opzet en verkoopplan. Efficient en niet te veel gedoe.Ik was ontzettend tevreden met 2M Makelaars. Persoonlijk, vriendelijk en authentiek. Het contact met Lianne was super en ik twijfel er niet over om haar weer te contacteren als we ooit op zoek gaan naar een ander huis. Kortom, topmakelaar! Het contact wat we hebben is goed, hele vriendelijke mensen, bereid je te helpen, waar ze kunnen, mijn huis was snel verkocht, heel bizar zoals dat ging, een zorg minder.Neen, ik kan alleen maar zeggen dat van de makelaars die ik uitnodigde, ik direct een goed gevoel had, toen Margreth binnenkwam, en heb 2M Makelaars, graag de opdracht gegeven, en had ze beloofd als het huis verkocht wordt, krijg je van mij een fles bubbels :o) Dus die belofte maak ik eerdaags waar. "
